Country Code,unemployment
AFG,16.785
ALB,25.567
DZA,29.444
ASM,..
AND,..
AGO,27.229
ATG,..
ARG,19.188
ARM,26.244
ABW,..
AUS,9.61
AUT,10.998
AZE,13.091
BHS,19.248
BHR,5.416
BGD,9.385
BRB,18.479
BLR,9.183
BEL,17.777
BLZ,19.321
BEN,2.887
BMU,..
BTN,17.052
BOL,5.013
BIH,28.201
BWA,46.004
BRA,13.981
VGB,..
BRN,18.23
BGR,10.152
BFA,6.438
BDI,1.678
CPV,28.415
KHM,0.711
CMR,6.548
CAN,13.8
CYM,..
CAF,10.086
TCD,1.457
CHI,14.126
CHL,21.635
CHN,15.795
COL,17.653
COM,8.753
COD,7.848
COG,40.501
CRI,19.949
CIV,4.011
HRV,16.474
CUB,4.277
CUW,..
CYP,12.709
CZE,9.219
DNK,11.737
DJI,76.766
DMA,..
DOM,12.312
ECU,8.16
EGY,18.293
SLV,7.809
GNQ,15.736
ERI,10.241
EST,19.695
SWZ,54.329
ETH,5.353
FRO,..
FJI,15.208
FIN,21.479
FRA,18.89
PYF,36.566
GAB,36.281
GMB,10.863
GEO,30.258
DEU,6.862
GHA,5.826
GIB,..
GRC,21.389
GRL,..
GRD,..
GUM,13.813
GTM,4.764
GIN,7.017
GNB,2.844
GUY,24.896
HTI,37.518
HND,8.526
HKG,8.958
HUN,14.205
ISL,8.671
IND,16.022
IDN,12.977
IRN,21.9
IRQ,32.012
IRL,10.493
IMN,..
ISR,6.032
ITA,20.545
JAM,10.809
JPN,3.898
JOR,38.876
KAZ,3.806
KEN,15.246
KIR,..
PRK,7.899
KOR,6.695
XKX,..
KWT,15.058
KGZ,8.228
LAO,2.384
LVA,12.95
LBN,..
LSO,24.672
LBR,2.297
LBY,50.057
LIE,..
LTU,13.756
LUX,21.467
MAC,6.779
MDG,5.247
MWI,6.947
MYS,11.953
MDV,15.694
MLI,3.877
MLT,8.431
MHL,..
MRT,22.921
MUS,17.374
MEX,5.714
FSM,..
MDA,4.197
MCO,..
MNG,11.71
MNE,24.438
MAR,21.882
MOZ,11.61
MMR,9.806
NAM,38.05
NRU,..
NPL,20.559
NLD,8.833
NCL,33.109
NZL,14.355
NIC,9.543
NER,0.457
NGA,5.34
MKD,28.75
MNP,..
NOR,13.423
OMN,13.885
PAK,9.594
PLW,..
PAN,19.768
PNG,3.785
PRY,11.687
PER,9.453
PHL,7.041
POL,10.699
PRT,20.221
PRI,13.984
QAT,0.559
ROU,24.544
RUS,7.613
RWA,16.408
WSM,12.977
SMR,..
STP,8.794
SAU,10.01
SEN,3.616
SRB,20.926
SYC,..
SLE,3.72
SGP,6.781
SXM,..
SVK,18.427
SVN,9.536
SLB,2.759
SOM,34.23
ZAF,59.93
SSD,..
ESP,24.745
LKA,18.578
KNA,..
LCA,20.251
MAF,..
VCT,41.947
SDN,..
SUR,25.438
SWE,24.312
CHE,9.041
SYR,33.101
TJK,14.594
TZA,2.381
THA,4.531
TLS,3.717
TGO,3.436
TON,6.029
TTO,8.216
TUN,38.075
TUR,16.042
TKM,10.023
TCA,..
TUV,..
UGA,4.183
UKR,..
ARE,6.451
GBR,14.647
USA,9.34
URY,25.149
UZB,11.381
VUT,11.343
VEN,10.444
VNM,6.165
VIR,24.196
PSE,..
YEM,32.598
ZMB,10.47
ZWE,15.548
